AddressCodeID,HouseNumber,StreetDorm,City,AddressNote,Longitude,Lattitude,FullAdress
2201,236,12th St.,Ann Arbor,,,,236 12th St.
22,1014,13th S.,Ann Arbor,,,,1014 13th S.
23,6,13th St.,Ann Arbor,,42.281836,-83.734581,6 13th St.
24,113,14th St.,Ann Arbor,,,,113 14th St.
25,206,14th St.,Ann Arbor,,42.282876,-83.733851,206 14th St.
27,212,14th St.,Ann Arbor,,42.282876,-83.733851,212 14th St.
29,25,14th St.,Ann Arbor,,42.278343,-83.733123,25 14th St.
33,131,Adams Ave.,Ann Arbor,,42.272042,-83.747643,131 Adams Ave.
35,135,Adams Ave.,Ann Arbor,,42.272034,-83.7469,135 Adams Ave.
1,,Alice Lloyd,Ann Arbor,dorm,42.281568,-83.73172,Alice Lloyd
1.1,,Alice Lloyd - Angell,Ann Arbor,dorm,,,Alice Lloyd - Angell
1.2,,Alice Lloyd - Hinsdale,Ann Arbor,dorm,,,Alice Lloyd - Hinsdale
1.3,,Alice Lloyd -Palmer,Ann Arbor,dorm,,,Alice Lloyd -Palmer
38,113,Allen Drive,Ann Arbor,,,,113 Allen Drive
39,,AME Church,Ann Arbor,,42.296319,-83.734809,AME Church
43,,Ann St.,Ann Arbor,,42.282393,-83.740238,Ann St.
44,114,Ann St.,Ann Arbor,,,,114 Ann St.
45,6,Ann St.,Ann Arbor,,42.282355,-83.748375,6 Ann St.
47,2759,Antietam Ct.,Ann Arbor,,,,2759 Antietam Ct.
49,720,Arbor St.,Ann Arbor,,,,720 Arbor St.
50,1824,Arbordale St.,Ann Arbor,,,,1824 Arbordale St.
51,711,Arch St.,Ann Arbor,,,,711 Arch St.
53,605,Argo Drive,Ann Arbor,,,,605 Argo Drive
54,707,Argo Drive,Ann Arbor,,,,707 Argo Drive
55,608,Armstrong Ct.,Ann Arbor,,,,608 Armstrong Ct.
56,2372,Arrowwood Trail,Ann Arbor,,,,2372 Arrowwood Trail
57,2617,Arrowwood Trail,Ann Arbor,,,,2617 Arrowwood Trail
58,2648,Arrowwood Trail,Ann Arbor,,,,2648 Arrowwood Trail
59,2785,Arrowwood Trail,Ann Arbor,,,,2785 Arrowwood Trail
60,2817,Arrowwood Trail,Ann Arbor,,,,2817 Arrowwood Trail
61,33,Ashley St.,Ann Arbor,,42.277056,-83.749978,33 Ashley St.
62,551,Ashley St.,Ann Arbor,,,,551 Ashley St.
63,622,Ashley St.,Ann Arbor,,42.286046,-83.74951,622 Ashley St.
64,623,Ashley St.,Ann Arbor,,,,623 Ashley St.
4,,Baits,Ann Arbor,dorm,,,Baits
3.1,,Baits I - Eaton,Ann Arbor,dorm,,,Baits I - Eaton
3.2,,Baits I - Lee,Ann Arbor,dorm,,,Baits I - Lee
3.3,,Baits I - Parker,Ann Arbor,dorm,,,Baits I - Parker
3.4,,Baits I - Smith,Ann Arbor,dorm,,,Baits I - Smith
3.5,,Baits I - Stanley,Ann Arbor,dorm,,,Baits I - Stanley
2,,Baits II,Ann Arbor,dorm,,,Baits II
2.1,,Baits II - Coman,Ann Arbor,dorm,,,Baits II - Coman
2.2,,Baits II - Conger,Ann Arbor,dorm,,,Baits II - Conger
2.3,,Baits II - Cross,Ann Arbor,dorm,,,Baits II - Cross
2.4,,Baits II - Thieme,Ann Arbor,dorm,,,Baits II - Thieme
2.5,,Baits II - Ziwet,Ann Arbor,dorm,,,Baits II - Ziwet
66,1217,Baldwin Ave.,Ann Arbor,,,,1217 Baldwin Ave.
67,902,Baldwin Ave.,Ann Arbor,,,,902 Baldwin Ave.
68,924,Baldwin Ave.,Ann Arbor,,,,924 Baldwin Ave.
69,2288,Bardyke Ct.,Ann Arbor,,,,2288 Bardyke Ct.
71,1071,Barton Drive,Ann Arbor,,,,1071 Barton Drive
72,1081,Barton Drive,Ann Arbor,,,,1081 Barton Drive
73,3023,Bayles Dr.,Ann Arbor,,,,3023 Bayles Dr.
74,203,Beakes St.,Ann Arbor,,42.28592,-83.746535,203 Beakes St.
75,305,Beakes St.,Ann Arbor,,42.286292,-83.745502,305 Beakes St.
76,312,Beakes St.,Ann Arbor,,42.286133,-83.744878,312 Beakes St.
77,326,Beakes St.,Ann Arbor,,42.286354,-83.744482,326 Beakes St.
78,333,Beakes St.,Ann Arbor,,42.286831,-83.744621,333 Beakes St.
79,337,Beakes St.,Ann Arbor,,42.286919,-83.744484,337 Beakes St.
80,343,Beakes St.,Ann Arbor,,,,343 Beakes St.
81,351,Beakes St.,Ann Arbor,,,,351 Beakes St.
