address,Lon,Lat
834 Green St.,-83.747775,42.270962
1009 Catherine St.,-83.733688,42.283158
210 Glen Ave.,-83.735386,42.28265
1005 Catherine St.,-83.733706,42.283174
1015 Catherine St.,-83.736544,42.283372
822 Fuller St.,-83.740173,42.286474
1027 Catherine St.,-83.734042,42.283199
1136 Catherine St.,-83.733661,42.283135
1103 E. Huron St.,-83.735232,42.281408
144 Hill St.,-83.747773,42.271486
1102 E. Ann St.,-83.734856,42.282273
735 Haven,-83.739342,42.276357
311 Glen Ave.,-83.735902,42.283073
809 Green St.,-83.747504,42.270602
945 Woodlawn Ave.,-83.735976,42.265368
1009 E. Catherine St.,-83.736388,42.283559
Mosher-Jordan Hall,-83.719072,42.257468
900 Fuller St.,-83.738374,42.285762
326 Beakes St.,-83.744524,42.286323
420 S. State St.,-83.734908,42.220944
West Quad,-83.742575,42.275031
526 N. 5th Ave.,-83.745329,42.285745
815 S. State St.,-83.740634,42.272094
217 Glen Ave.,-83.735897,42.283003
1017 Catherine St.,-83.734098,42.283197
132 Hill St.,-83.748256,42.271363
947 Woodlawn Ave.,-83.735828,42.265372
212 N. 5th Ave.,-83.745693,42.282684
520 Detroit St.,-83.74437,42.28528
206 Glen Ave.,-83.735383,42.28253
502 N. 5th Ave.,-83.745606,42.284963
2nd St.,-83.752607,42.275839
3 Volland St.,-83.732748,42.278236
Couzens Hall,-83.731912,42.282068
411 N. State St.,-83.74142,42.28422
1118 S. University Ave.,-83.734728,42.275016
217 N 1 St.,-83.751153,42.283072
Lawyers Club,-83.739363,42.274996
18 Ingalls St.,-83.738445,42.281328
322 Maynard,-83.742382,42.278667
921 E. Huron St.,-83.737484,42.281555
1333 Washtenaw Ave.,-83.730369,42.274256
507 Glen Ave.,-83.736511,42.283563
619 Oxford Rd.,-83.726054,42.274489
502 N. 5th St.,-83.745676,42.284873
511 N. 5th Ave.,-83.746288,42.285242
912 Mary St.,-83.742195,42.270576
120 N Main St.,-83.748495,42.281522
908 Green St.,-83.74747,42.270198
808 Greene St.,-83.747766,42.271298
212 N. 5th St.,-83.74573,42.282694
724 Miller Ave.,-83.756255,42.285256
922 Woodlawn Ave.,-83.736841,42.264862
808 Fuller St.,-83.740425,42.286558
441 1st St.,-83.750652,42.276635
512 S. State St.,-83.734922,42.220964
317 N. Washington (Ypsilanti),-83.512078,42.358271
617 Packard St.,-83.74101,42.271496
917 Brown St.,-83.748323,42.269689
200 N. State St.,-83.740654,42.28229
1136 E. Catherine St.,-83.733583,42.283466
108 Miller Ave.,-83.749612,42.283296
816 Green St.,-83.747729,42.271355
Alice Lloyd Hall,-83.73172,42.281568
214 S. Ingalls St.,-83.738338,42.282704
53 1/2 N. Main St.,-83.7487,42.2796
Victor Vaughan,-83.735024,42.283941
213 Glen Ave.,-83.735884,42.282755
