"","AddressCodeID","HouseNumber","StreetDorm","City","AddressNote","Latitude","Longitude","address"
"1",2201,236,"12th St.","Ann Arbor","",NA,NA,"236 12th St."
"2",22,1014,"13th S.","Ann Arbor","",NA,NA,"1014 13th S."
"3",23,6,"13th St.","Ann Arbor","",42.281836,-83.73458,"6 13th St."
"4",24,113,"14th St.","Ann Arbor","",NA,NA,"113 14th St."
"5",25,206,"14th St.","Ann Arbor","",42.282876,-83.73385,"206 14th St."
"6",27,212,"14th St.","Ann Arbor","",42.282876,-83.73385,"212 14th St."
"7",29,25,"14th St.","Ann Arbor","",42.278343,-83.73312,"25 14th St."
"8",33,131,"Adams Ave.","Ann Arbor","",42.272042,-83.74764,"131 Adams Ave."
"9",35,135,"Adams Ave.","Ann Arbor","",42.272034,-83.7469,"135 Adams Ave."
"10",1,NA,"Alice Lloyd","Ann Arbor","dorm",42.281568,-83.73172,"Alice Lloyd"
"11",1.1,NA,"Alice Lloyd - Angell","Ann Arbor","dorm",NA,NA,"Alice Lloyd - Angell"
"12",1.2,NA,"Alice Lloyd - Hinsdale","Ann Arbor","dorm",NA,NA,"Alice Lloyd - Hinsdale"
"13",1.3,NA,"Alice Lloyd -Palmer","Ann Arbor","dorm",NA,NA,"Alice Lloyd -Palmer"
"14",38,113,"Allen Drive","Ann Arbor","",NA,NA,"113 Allen Drive"
"15",39,NA,"AME Church","Ann Arbor","",42.296319,-83.73481,"AME Church"
"16",43,NA,"Ann St.","Ann Arbor","",42.282393,-83.74024,"Ann St."
"17",44,114,"Ann St.","Ann Arbor","",NA,NA,"114 Ann St."
"18",45,6,"Ann St.","Ann Arbor","",42.282355,-83.74837,"6 Ann St."
"19",47,2759,"Antietam Ct.","Ann Arbor","",NA,NA,"2759 Antietam Ct."
"20",49,720,"Arbor St.","Ann Arbor","",NA,NA,"720 Arbor St."
"21",50,1824,"Arbordale St.","Ann Arbor","",NA,NA,"1824 Arbordale St."
"22",51,711,"Arch St.","Ann Arbor","",NA,NA,"711 Arch St."
"23",53,605,"Argo Drive","Ann Arbor","",NA,NA,"605 Argo Drive"
"24",54,707,"Argo Drive","Ann Arbor","",NA,NA,"707 Argo Drive"
"25",55,608,"Armstrong Ct.","Ann Arbor","",NA,NA,"608 Armstrong Ct."
"26",56,2372,"Arrowwood Trail","Ann Arbor","",NA,NA,"2372 Arrowwood Trail"
"27",57,2617,"Arrowwood Trail","Ann Arbor","",NA,NA,"2617 Arrowwood Trail"
"28",58,2648,"Arrowwood Trail","Ann Arbor","",NA,NA,"2648 Arrowwood Trail"
"29",59,2785,"Arrowwood Trail","Ann Arbor","",NA,NA,"2785 Arrowwood Trail"
"30",60,2817,"Arrowwood Trail","Ann Arbor","",NA,NA,"2817 Arrowwood Trail"
"31",61,33,"Ashley St.","Ann Arbor","",42.277056,-83.74998,"33 Ashley St."
"32",62,551,"Ashley St.","Ann Arbor","",NA,NA,"551 Ashley St."
"33",63,622,"Ashley St.","Ann Arbor","",42.286046,-83.74951,"622 Ashley St."
"34",64,623,"Ashley St.","Ann Arbor","",NA,NA,"623 Ashley St."
"35",4,NA,"Baits","Ann Arbor","dorm",NA,NA,"Baits"
"36",3.1,NA,"Baits I - Eaton","Ann Arbor","dorm",NA,NA,"Baits I - Eaton"
"37",3.2,NA,"Baits I - Lee","Ann Arbor","dorm",NA,NA,"Baits I - Lee"
"38",3.3,NA,"Baits I - Parker","Ann Arbor","dorm",NA,NA,"Baits I - Parker"
"39",3.4,NA,"Baits I - Smith","Ann Arbor","dorm",NA,NA,"Baits I - Smith"
"40",3.5,NA,"Baits I - Stanley","Ann Arbor","dorm",NA,NA,"Baits I - Stanley"
"41",2,NA,"Baits II","Ann Arbor","dorm",NA,NA,"Baits II"
"42",2.1,NA,"Baits II - Coman","Ann Arbor","dorm",NA,NA,"Baits II - Coman"
"43",2.2,NA,"Baits II - Conger","Ann Arbor","dorm",NA,NA,"Baits II - Conger"
"44",2.3,NA,"Baits II - Cross","Ann Arbor","dorm",NA,NA,"Baits II - Cross"
"45",2.4,NA,"Baits II - Thieme","Ann Arbor","dorm",NA,NA,"Baits II - Thieme"
"46",2.5,NA,"Baits II - Ziwet","Ann Arbor","dorm",NA,NA,"Baits II - Ziwet"
"47",66,1217,"Baldwin Ave.","Ann Arbor","",NA,NA,"1217 Baldwin Ave."
"48",67,902,"Baldwin Ave.","Ann Arbor","",NA,NA,"902 Baldwin Ave."
"49",68,924,"Baldwin Ave.","Ann Arbor","",NA,NA,"924 Baldwin Ave."
"50",69,2288,"Bardyke Ct.","Ann Arbor","",NA,NA,"2288 Bardyke Ct."
"51",71,1071,"Barton Drive","Ann Arbor","",NA,NA,"1071 Barton Drive"
"52",72,1081,"Barton Drive","Ann Arbor","",NA,NA,"1081 Barton Drive"
"53",73,3023,"Bayles Dr.","Ann Arbor","",NA,NA,"3023 Bayles Dr."
"54",74,203,"Beakes St.","Ann Arbor","",42.28592,-83.74653,"203 Beakes St."
"55",75,305,"Beakes St.","Ann Arbor","",42.286292,-83.7455,"305 Beakes St."
"56",76,312,"Beakes St.","Ann Arbor","",42.286133,-83.74488,"312 Beakes St."
"57",77,326,"Beakes St.","Ann Arbor","",42.286354,-83.74448,"326 Beakes St."
"58",78,333,"Beakes St.","Ann Arbor","",42.286831,-83.74462,"333 Beakes St."
"59",79,337,"Beakes St.","Ann Arbor","",42.286919,-83.74448,"337 Beakes St."
