id,AddressCodeID,HouseNumber,StreetDorm,City,AddressNote,address,latitude,longitude,
1,2201,236,12th St.,Ann Arbor,,236 12th St.,42.278963,-83.73726,
2,22,1014,13th S.,Ann Arbor,,1014 13th S.,42.285362,-83.734982,Unsure
3,24,113,14th St.,Ann Arbor,,113 14th St.,42.280885,-83.433257,
8,44,114,Ann St.,Ann Arbor,,114 Ann St.,42.282431,-83.749521,
9,47,2759,Antietam Ct.,Ann Arbor,,2759 Antietam Ct.,42.314488,-83.700435,
15,55,608,Armstrong Ct.,Ann Arbor,,608 Armstrong Ct.,0,0,Unsure - Ypsi?
21,62,551,Ashley St.,Ann Arbor,,551 Ashley St.,0,0,unsure north or south ashley
22,64,623,Ashley St.,Ann Arbor,,623 Ashley St.,0,0,unsure north or south ashley
38,69,2288,Bardyke Ct.,Ann Arbor,,2288 Bardyke Ct.,0,0,unsure - hardyke ct?
41,73,3023,Bayles Dr.,Ann Arbor,,3023 Bayles Dr.,0,0,unsure - baylist dr?
50,93,12,Best Hall,Ann Arbor,,12 Best Hall,0,0,Unsure
52,96,,Biological Station,Ann Arbor,,Biological Station,45.559365,-84.673767,Not in ann arbor?
53,97,2982,Birch Hollow,Ann Arbor,,2982 Birch Hollow,42.237931,-83.7204924,
54,128,4020,Birch Hollow,Ann Arbor,,4020 Birch Hollow,42.239804,-83.713052,
55,98,2323,Bishop St.,Ann Arbor,,2323 Bishop St.,42.298456,-83.714293,
56,99,2361,Bishop St.,Ann Arbor,,2361 Bishop St.,42.298311,-83.713606,
57,100,2385,Bishop St.,Ann Arbor,,2385 Bishop St.,42.298179,-83.713159,
58,102,2403,Bishop St.,Ann Arbor,,2403 Bishop St.,42.298078,-83.712714,
59,103,2414,Bishop St.,Ann Arbor,,2414 Bishop St.,42.297575,-83.712542,
60,147,2394,Bishop St.,Ann Arbor,,2394 Bishop St.,42.297132,-83.713046,
69,113,1743,Broadside St.,Ann Arbor,,1743 Broadside St.,0,0,unsure
79,126,818,Browns St.,Ann Arbor,,818 Browns St.,42.271012,-83.748974,Brown st
85,7.4,,Bursley - Rotvig,Ann Arbor,,Bursley - Rotvig,42.2938052,-83.72200216,
89,132,1113,Bvdding Rd.,Ann Arbor,,1113 Bvdding Rd.,42.29275,-83.756344,Bydding rd?
93,137,1722,Cambridge St.,Ann Arbor,,1722 Cambridge St.,42.270109,-83.726105,Cambridge rd? couldn't find a cambridge st
94,1026,,Catherine and Glen,Ann Arbor,,Catherine and Glen,42.28316,-83.735959,
108,1031,1302,Cedar Bend,Ann Arbor,,1302 Cedar Bend,42.288165,-83.723973,unsure - there's cedar bend drive and cedar bend st
110,1034,510,Cheever Ct.,Ann Arbor,,510 Cheever Ct.,42.274735,-83.742691,
112,1037,3147,Cherrytree Lane,Ann Arbor,,3147 Cherrytree Lane,42.243051,-83.685597,
133,1054,,(Clark St.),Ann Arbor,Neuropsychopathic Institute ,(Clark St.),42.283754,-83.733639,"psychopathic hospital, university hospital?"
135,1056,2015,Commerce Drive,Ann Arbor,,2015 Commerce Drive,42.269442,-83.776326,commerce blvd? no drive found
136,1057,2025,Commerce Drive,Ann Arbor,,2025 Commerce Drive,42.269329,-83.776602,commerce blvd? no drive found
137,1058,2045,Commerce Drive,Ann Arbor,,2045 Commerce Drive,42.269282,-83.777089,commerce blvd? no drive found
139,1060,,corner of 13th and Hickory Sts.,Ann Arbor,,corner of 13th and Hickory Sts.,42.285028,-83.735984,
140,1061,,Corner of Ann and 13th,Ann Arbor,,Corner of Ann and 13th,42.282056,-83.735815,
141,1063,,corner of Fourth and Williams,Ann Arbor,,corner of Fourth and Williams,42.277577,-3.754611,
142,2207,,corner of Hill and Washtenaw,Ann Arbor,,corner of Hill and Washtenaw,42.272684,-83.728107,
143,1064,,Corner of Ingalls and Monroe,Ann Arbor,,Corner of Ingalls and Monroe,42.272884,-83.73723,
144,1065,,Corner of St. and Madison,Ann Arbor,,Corner of St. and Madison,42.274157,-83.740746,unsure - corner of state st and madison?
145,1066,,Corner of State and Huron Sts.,Ann Arbor,,Corner of State and Huron Sts.,42.280978,-83.741102,
151,1074,16977,Cram Circle,Ann Arbor,,1697-7 Cram Circle,42.297222,-83.715469,
154,1076,1666,Cram Cirlce,Ann Arbor,,1666 Cram Cirlce,42.296925,-83.715212,
164,1087,812,Daniels St.,Ann Arbor,,812 Daniels St.,42.289696,-83.750728,
165,1088,1629,Darian Ct.,Ann Arbor,,1629 Darian Ct.,0,0,unsure
167,1096,913,Dewey  St.,Ann Arbor,,913 Dewey  St.,42.266055,-83.737388,Dewey av?
168,2069,819,Dewey  St.,Ann Arbor,,819 Dewey  St.,42.266031,-83.738484,Dewey av?
169,290,939,Dewey St.,Ann Arbor,,939 Dewey St.,42.26612,-83.736245,Dewey av?
170,1097,943,Dewey St.,Ann Arbor,,943 Dewey St.,42.266092,-83.736128,Dewey av?
171,1098,945,Dewey St.,Ann Arbor,,945 Dewey St.,42.266087,-83.735936,Dewey av?
173,1100,335,Division St.,Ann Arbor,,335 Division St.,42.278251,-83.743846,south division?
174,1101,919,Division St.,Ann Arbor,,919 Division St.,42.270417,-83.744111,south division?
175,1102,305,Doty St.,Ann Arbor,,305 Doty St.,42.284666,-83.772283,doty ave?
177,1107,1009,E. 12th St.,Ann Arbor,,1009 E. 12th St.,0,0,unsure
197,167,112,E. Davis St.,Ann Arbor,,112 E. Davis St.,42.270104,-83.749346,e. davis ave.? Also says ave on sanborn maps
199,175,121,E. Hoover St.,Ann Arbor,,121 E. Hoover St.,42.269546,-83.749108,e. hoover ave?
200,176,144,E. Hoover St.,Ann Arbor,,144 E. Hoover St.,42.269236,-83.748113,e. hoover ave?
201,177,146,E. Hoover St.,Ann Arbor,,146 E. Hoover St.,42.269193,-83.74802,e. hoover ave?
202,178,415,E. Hoover St.,Ann Arbor,,415 E. Hoover St.,42.269799,-83.743599,e. hoover ave?
203,179,511,E. Hoover St.,Ann Arbor,,511 E. Hoover St.,42.269884,-83.742693,e. hoover ave?
204,180,605,E. Hoover St.,Ann Arbor,,605 E. Hoover St.,42.269865,-83.741391,e. hoover ave?
249,1391,315,E. Madison,Ann Arbor,,315 E. Madison,42.274331,-83.745864,
259,249,822,E. Seventh St.,Ann Arbor,,822 E. Seventh St.,0,0,Unsure - only see south or north seventh
299,2023,420,East Quad - Anderson,Ann Arbor,,420 East Quad - Anderson,42.27295805,-83.73515949,
308,574,817,Edward St.,Ann Arbor,,817 Edward St.,42.289539,-83.749757,
314,577,3484,Ewald Circle,Ann Arbor,,3484 Ewald Circle,0,0,unsure - can find ewald circle but is in detroit
317,1152,1052,FerdonÎê_ St.,Ann Arbor,,1052 FerdonÎê_ St.,42.268447,-83.725784,unsure - should be ferdon street - there is not one but a ferdon road
